,icd10_category,description
1391,B65,Schistosomiasis [bilharziasis]
1392,C86,Other specified types of T/NK-cell lymphoma
1393,C13,Malignant neoplasm of hypopharynx
1394,W32,Handgun discharge
1395,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
1397,N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
1398,D26,Other benign neoplasms of uterus
1399,Q67,"Congenital musculoskeletal deformities of head, face, spine and chest"
1400,H27,Other disorders of lens
1401,W45,Foreign body or object entering through skin
1402,C33,Malignant neoplasm of trachea
1403,Z55,Problems related to education and literacy
1404,K01,Embedded and impacted teeth
1405,P27,Chronic respiratory disease originating in the perinatal period
1406,S54,Injury of nerves at forearm level
1407,K77,Liver disorders in diseases classified elsewhere
1408,D00,"Carcinoma in situ of oral cavity, oesophagus and stomach"
1409,O94,"Sequelae of complication of pregnancy, childbirth and the puerperium"
1410,Q31,Congenital malformations of larynx
1411,T19,Foreign body in genitourinary tract
1412,J41,Simple and mucopurulent chronic bronchitis
1413,V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
1415,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
1416,L58,Radiodermatitis
1417,R46,Symptoms and signs involving appearance and behaviour
1418,Z73,Problems related to life-management difficulty
1419,X16,"Contact with hot heating appliances, radiators and pipes"
1420,W92,Exposure to excessive heat of man-made origin
1421,H28,Cataract and other disorders of lens in diseases classified elsewhere
1422,T69,Other effects of reduced temperature
1423,B57,Chagas disease
1424,G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
1425,L44,Other papulosquamous disorders
1426,D07,Carcinoma in situ of other and unspecified genital organs
1427,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
1428,O85,Puerperal sepsis
1429,Q20,Congenital malformations of cardiac chambers and connections
1430,D81,Combined immunodeficiencies
1431,Q82,Other congenital malformations of skin
1432,C04,Malignant neoplasm of floor of mouth
1433,G01,Meningitis in bacterial diseases classified elsewhere
1434,C08,Malignant neoplasm of other and unspecified major salivary glands
1435,J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
1436,F73,Profound mental retardation
1437,Y78,Radiological devices associated with adverse incidents
1438,A64,Unspecified sexually transmitted disease
1439,T34,Frostbite with tissue necrosis
1440,L41,Parapsoriasis
1441,B67,Echinococcosis
1442,Z13,Special screening examination for other diseases and disorders
1443,S57,Crushing injury of forearm
1444,A94,Unspecified arthropod-borne viral fever
1445,Q70,Syndactyly
1446,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified"
1447,V17,Pedal cyclist injured in collision with fixed or stationary object
1448,Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
1449,M61,Calcification and ossification of muscle
1450,B83,Other helminthiases
1451,V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident
1452,R75,Laboratory evidence of human immunodeficiency virus [HIV]
1453,Z52,Donors of organs and tissues
1454,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
1455,H65,Nonsuppurative otitis media
1456,D10,Benign neoplasm of mouth and pharynx
1457,V73,"Bus occupant injured in collision with car, pick-up truck or van"
1458,V79,Bus occupant injured in other and unspecified transport accidents
1459,A86,Unspecified viral encephalitis
1460,V44,Car occupant injured in collision with heavy transport vehicle or bus
1461,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
1462,D09,Carcinoma in situ of other and unspecified sites
1463,M07,Psoriatic and enteropathic arthropathies
1464,S77,Crushing injury of hip and thigh
1465,D29,Benign neoplasm of male genital organs
1466,Z34,Supervision of normal pregnancy
1467,B76,Hookworm diseases
1468,C30,Malignant neoplasm of nasal cavity and middle ear
1469,W89,Exposure to man-made visible and ultraviolet light
1470,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
1471,B53,Other parasitologically confirmed malaria
1472,J66,Airway disease due to specific organic dust
1473,X19,Contact with other and unspecified heat and hot substances
1474,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
1475,X00,Exposure to uncontrolled fire in building or structure
1476,F78,Other mental retardation
1477,Z64,Problems related to certain psychosocial circumstances
1478,Z31,Procreative management
1479,W12,Fall on and from scaffolding
1480,G32,Other degenerative disorders of nervous system in diseases classified elsewhere
1481,A44,Bartonellosis
1482,V04,Pedestrian injured in collision with heavy transport vehicle or bus
1483,C31,Malignant neoplasm of accessory sinuses
1484,W74,Unspecified drowning and submersion
1485,E00,Congenital iodine-deficiency syndrome
1486,Y76,Obstetric and gynaecological devices associated with adverse incidents
1487,Q83,Congenital malformations of breast
1488,P91,Other disturbances of cerebral status of newborn
1490,T30,"Burn and corrosion, body region unspecified"
1491,D82,Immunodeficiency associated with other major defects
1492,F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
1493,M36,Systemic disorders of connective tissue in diseases classified elsewhere
1494,D01,Carcinoma in situ of other and unspecified digestive organs
1495,M93,Other osteochondropathies
1496,Q06,Other congenital malformations of spinal cord
1497,B06,Rubella [German measles]
1498,Q95,"Balanced rearrangements and structural markers, not elsewhere classified"
1499,V81,Occupant of railway train or railway vehicle injured in transport accident
1500,T15,Foreign body on external eye
1501,X10,"Contact with hot drinks, food, fats and cooking oils"
1502,A34,Obstetrical tetanus
1503,A92,Other mosquito-borne viral fevers
1504,F82,Specific developmental disorder of motor function
1505,C58,Malignant neoplasm of placenta
1506,C05,Malignant neoplasm of palate
1507,S96,Injury of muscle and tendon at ankle and foot level
1508,V68,Occupant of heavy transport vehicle injured in noncollision transport accident
1509,S47,Crushing injury of shoulder and upper arm
1510,W46,Contact with hypodermic needle
1511,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
1512,Q84,Other congenital malformations of integument
1513,Z08,Follow-up examination after treatment for malignant neoplasms
1514,B38,Coccidioidomycosis
1515,F94,Disorders of social functioning with onset specific to childhood and adolescence
1516,F93,Emotional disorders with onset specific to childhood
1517,T27,Burn and corrosion of respiratory tract
1518,A39,Meningococcal infection
1519,G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
1520,Q71,Reduction defects of upper limb
1521,E58,Dietary calcium deficiency
1522,R69,Unknown and unspecified causes of morbidity
1523,T70,Effects of air pressure and water pressure
1524,A35,Other tetanus
1525,Z32,Pregnancy examination and test
1526,V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion"
1527,T55,Toxic effect of soaps and detergents
1528,V78,Bus occupant injured in noncollision transport accident
1529,Q72,Reduction defects of lower limb
1530,D31,Benign neoplasm of eye and adnexa
1531,S98,Traumatic amputation of ankle and foot
1532,Y70,Anaesthesiology devices associated with adverse incidents
1533,C75,Malignant neoplasm of other endocrine glands and related structures
1534,T61,Toxic effect of noxious substances eaten as seafood
1535,I41,Myocarditis in diseases classified elsewhere
1536,L22,Diaper [napkin] dermatitis
1537,A88,"Other viral infections of central nervous system, not elsewhere classified"
1538,E25,Adrenogenital disorders
1539,B47,Mycetoma
1540,Z44,Fitting and adjustment of external prosthetic device
1541,E40,Kwashiorkor
1542,G94,Other disorders of brain in diseases classified elsewhere
1543,Y77,Ophthalmic devices associated with adverse incidents
1544,V21,Motorcycle rider injured in collision with pedal cycle
1545,I00,Rheumatic fever without mention of heart involvement
1546,A84,Tick-borne viral encephalitis
1547,A85,"Other viral encephalitis, not elsewhere classified"
1548,N29,Other disorders of kidney and ureter in diseases classified elsewhere
1549,N96,Habitual aborter
1550,T28,Burn and corrosion of other internal organs
1551,Q30,Congenital malformations of nose
1552,R84,Abnormal findings in specimens from respiratory organs and thorax
1553,Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments"
1554,Y80,Physical medicine devices associated with adverse incidents
1555,V97,Other specified air transport accidents
1556,V01,Pedestrian injured in collision with pedal cycle
1557,Q12,Congenital lens malformations
1558,C63,Malignant neoplasm of other and unspecified male genital organs
1559,S94,Injury of nerves at ankle and foot level
1560,J63,Pneumoconiosis due to other inorganic dusts
1561,T33,Superficial frostbite
1562,V85,Occupant of special construction vehicle injured in transport accident
1563,F65,Disorders of sexual preference
1564,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
1565,E52,Niacin deficiency [pellagra]
1566,X94,"Assault by rifle, shotgun and larger firearm discharge"
1567,D19,Benign neoplasm of mesothelial tissue
1568,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
1569,Y32,"Crashing of motor vehicle, undetermined intent"
1570,N27,Small kidney of unknown cause
1571,A06,Amoebiasis
1572,Q75,Other congenital malformations of skull and face bones
1573,O07,Failed attempted abortion
1574,N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
1575,X05,Exposure to ignition or melting of nightwear
1576,V99,Unspecified transport accident
1577,V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
1578,C12,Malignant neoplasm of piriform sinus
1579,Z02,Examination and encounter for administrative purposes
1580,V91,Accident to watercraft causing other injury
1581,V02,Pedestrian injured in collision with two- or three-wheeled motor vehicle
1582,S88,Traumatic amputation of lower leg
1583,L86,Keratoderma in diseases classified elsewhere
1584,V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents
1585,O82,Single delivery by caesarean section
1586,H62,Disorders of external ear in diseases classified elsewhere
1587,M63,Disorders of muscle in diseases classified elsewhere
1588,B87,Myiasis
1589,H17,Corneal scars and opacities
1590,B40,Blastomycosis
1591,V20,Motorcycle rider injured in collision with pedestrian or animal
1592,H68,Eustachian salpingitis and obstruction
1593,A37,Whooping cough
1594,C03,Malignant neoplasm of gum
1595,Y24,"Other and unspecified firearm discharge, undetermined intent"
1596,P01,Fetus and newborn affected by maternal complications of pregnancy
1597,X96,Assault by explosive material
1598,V82,Occupant of streetcar injured in transport accident
1599,W69,Drowning and submersion while in natural water
1600,R86,Abnormal findings in specimens from male genital organs
1602,V06,Pedestrian injured in collision with other nonmotor vehicle
1603,V92,Water-transport-related drowning and submersion without accident to watercraft
1604,Y26,"Exposure to smoke, fire and flames, undetermined intent"
1605,L87,Transepidermal elimination disorders
1606,P25,Interstitial emphysema and related conditions originating in the perinatal period
1607,A68,Relapsing fevers
1608,D03,Melanoma in situ
1609,W33,"Rifle, shotgun and larger firearm discharge"
1610,A32,Listeriosis
1611,L42,Pityriasis rosea
1612,B54,Unspecified malaria
1613,K23,Disorders of oesophagus in diseases classified elsewhere
1614,W28,Contact with powered lawnmower
1615,S48,Traumatic amputation of shoulder and upper arm
1616,B55,Leishmaniasis
1617,N07,"Hereditary nephropathy, not elsewhere classified"
1618,Q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
1619,W90,Exposure to other nonionizing radiation
1620,C00,Malignant neoplasm of lip
1621,K09,"Cysts of oral region, not elsewhere classified"
1622,N33,Bladder disorders in diseases classified elsewhere
1624,A21,Tularaemia
1625,Q18,Other congenital malformations of face and neck
1627,B04,Monkeypox
1628,Q32,Congenital malformations of trachea and bronchus
1629,W65,Drowning and submersion while in bath-tub
1631,A75,Typhus fever
1632,L00,Staphylococcal scalded skin syndrome
1633,T32,Corrosions classified according to extent of body surface involved
1634,X74,Intentional self-harm by other and unspecified firearm discharge
1635,W30,Contact with agricultural machinery
1636,V24,Motorcycle rider injured in collision with heavy transport vehicle or bus
1637,I39,Endocarditis and heart valve disorders in diseases classified elsewhere
1638,Q17,Other congenital malformations of ear
1639,R99,Other ill-defined and unspecified causes of mortality
1640,B26,Mumps
1641,W39,Discharge of firework
1642,E64,Sequelae of malnutrition and other nutritional deficiencies
1643,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus
1644,G53,Cranial nerve disorders in diseases classified elsewhere
1645,Y28,"Contact with sharp object, undetermined intent"
1646,E77,Disorders of glycoprotein metabolism
1647,A70,Chlamydia psittaci infection
1648,A80,Acute poliomyelitis
1649,G55,Nerve root and plexus compressions in diseases classified elsewhere
1650,S17,Crushing injury of neck
1651,V95,Accident to powered aircraft causing injury to occupant
1652,X77,"Intentional self-harm by steam, hot vapours and hot objects"
1653,X37,Victim of cataclysmic storm
1654,W36,Explosion and rupture of gas cylinder
1655,A22,Anthrax
1656,Q34,Other congenital malformations of respiratory system
1657,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
1658,X32,Exposure to sunlight
1659,Y27,"Contact with steam, hot vapours and hot objects, undetermined intent"
1660,V77,Bus occupant injured in collision with fixed or stationary object
1661,Y29,"Contact with blunt object, undetermined intent"
1662,H94,Other disorders of ear in diseases classified elsewhere
1663,S95,Injury of blood vessels at ankle and foot level
1664,V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object
1665,Y01,Assault by pushing from high place
1666,V63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van"
1667,V14,Pedal cyclist injured in collision with heavy transport vehicle or bus
1668,B81,"Other intestinal helminthiases, not elsewhere classified"
1669,B66,Other fluke infections
1670,X15,Contact with hot household appliances
1671,W56,Contact with marine animal
1672,W49,Exposure to other and unspecified inanimate mechanical forces
1673,P96,Other conditions originating in the perinatal period
1674,Q56,Indeterminate sex and pseudohermaphroditism
1675,W94,Exposure to high and low air pressure and changes in air pressure
1676,A26,Erysipeloid
1677,A78,Q fever
1678,A55,Chlamydial lymphogranuloma (venereum)
1679,A50,Congenital syphilis
1680,V84,Occupant of special vehicle mainly used in agriculture injured in transport accident
1681,Q80,Congenital ichthyosis
1682,V11,Pedal cyclist injured in collision with other pedal cycle
1683,M42,Spinal osteochondrosis
1684,S78,Traumatic amputation of hip and thigh
1685,L75,Apocrine sweat disorders
1686,X36,"Victim of avalanche, landslide and other earth movements"
1687,T26,Burn and corrosion confined to eye and adnexa
1688,P83,Other conditions of integument specific to fetus and newborn
1689,B42,Sporotrichosis
1690,Q69,Polydactyly
1691,K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
1692,B05,Measles
1693,W53,Bitten by rat
1694,O29,Complications of anaesthesia during pregnancy
1696,X04,Exposure to ignition of highly flammable material
1697,Y03,Assault by crashing of motor vehicle
1699,W64,Exposure to other and unspecified animate mechanical forces
1700,B43,Chromomycosis and phaeomycotic abscess
1701,X18,Contact with other hot metals
1702,Q42,"Congenital absence, atresia and stenosis of large intestine"
1703,V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal
1704,F66,Psychological and behavioural disorders associated with sexual development and orientation
1705,A24,Glanders and melioidosis
1706,S58,Traumatic amputation of forearm
1707,V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
1708,P03,Fetus and newborn affected by other complications of labour and delivery
1709,Y22,"Handgun discharge, undetermined intent"
1710,Q16,Congenital malformations of ear causing impairment of hearing
1711,G26,Extrapyramidal and movement disorders in diseases classified elsewhere
1712,E68,Sequelae of hyperalimentation
1713,W40,Explosion of other materials
1714,A57,Chancroid
1715,Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
1716,W60,Contact with plant thorns and spines and sharp leaves
1717,B51,Plasmodium vivax malaria
1718,A30,Leprosy [Hansen disease]
1719,F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
1720,K67,Disorders of peritoneum in infectious diseases classified elsewhere
1721,G02,Meningitis in other infectious and parasitic diseases classified elsewhere
1722,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere
1723,H67,Otitis media in diseases classified elsewhere
1724,J64,Unspecified pneumoconiosis
1725,W37,"Explosion and rupture of pressurized tyre, pipe or hose"
1726,B79,Trichuriasis
1727,Q91,Edwards syndrome and Patau syndrome
1728,T16,Foreign body in ear
1729,A65,Nonvenereal syphilis
1730,V74,Bus occupant injured in collision with heavy transport vehicle or bus
1731,A82,Rabies
1732,V42,Car occupant injured in collision with two- or three-wheeled motor vehicle
1733,E76,Disorders of glycosaminoglycan metabolism
1734,X13,Contact with steam and hot vapours
1735,X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge"
1736,Z70,"Counselling related to sexual attitude, behaviour and orientation"
1737,W52,"Crushed, pushed or stepped on by crowd or human stampede"
1739,E42,Marasmic kwashiorkor
1740,V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
1741,A23,Brucellosis
1742,B41,Paracoccidioidomycosis
1743,X34,Victim of earthquake
1744,P29,Cardiovascular disorders originating in the perinatal period
1745,X17,"Contact with hot engines, machinery and tools"
1746,A83,Mosquito-borne viral encephalitis
1747,V45,Car occupant injured in collision with railway train or railway vehicle
1748,V16,Pedal cyclist injured in collision with other nonmotor vehicle
1749,W99,Exposure to other and unspecified man-made environmental factors
1750,P11,Other birth injuries to central nervous system
1751,B56,African trypanosomiasis
1752,W85,Exposure to electric transmission lines
1753,P07,"Disorders related to short gestation and low birth weight, not elsewhere classified"
1754,A27,Leptospirosis
1755,Y64,Contaminated medical or biological substances
1756,Y21,"Drowning and submersion, undetermined intent"
